"category","reviews_count","rating","number_of_apps","percentage"
"Customer support",0,0,109,26.65
"Customer support",1,1,6,1.47
"Customer support",2,1,1,0.24
"Customer support",13,1.2,1,0.24
"Customer support",3,1.3,1,0.24
"Customer support",3,1.6,1,0.24
"Customer support",5,1.8,1,0.24
"Customer support",78,1.8,1,0.24
"Customer support",1,2,3,0.73
"Customer support",5,2.2,1,0.24
"Customer support",2,2.3,1,0.24
"Customer support",5,2.4,1,0.24
"Customer support",2,2.9,1,0.24
"Customer support",4,2.9,1,0.24
"Customer support",71,2.9,1,0.24
"Customer support",4,3,2,0.49
"Customer support",1,3,1,0.24
"Customer support",2,3,1,0.24
"Customer support",3,3,1,0.24
"Customer support",7,3,1,0.24
"Customer support",25,3,1,0.24
"Customer support",3,3.1,1,0.24
"Customer support",4,3.1,1,0.24
"Customer support",18,3.1,1,0.24
"Customer support",22,3.1,1,0.24
"Customer support",108,3.1,1,0.24
"Customer support",11,3.2,1,0.24
"Customer support",26,3.2,1,0.24
"Customer support",2,3.3,1,0.24
"Customer support",4,3.3,1,0.24
"Customer support",8,3.4,1,0.24
"Customer support",2,3.5,2,0.49
"Customer support",6,3.5,1,0.24
"Customer support",9,3.5,1,0.24
"Customer support",44,3.5,1,0.24
"Customer support",4,3.6,1,0.24
"Customer support",20,3.6,1,0.24
"Customer support",112,3.6,1,0.24
"Customer support",4,3.7,1,0.24
"Customer support",36,3.7,1,0.24
"Customer support",11,3.8,1,0.24
"Customer support",25,3.8,1,0.24
"Customer support",123,3.8,1,0.24
"Customer support",7,3.9,1,0.24
"Customer support",8,3.9,1,0.24
"Customer support",9,3.9,1,0.24
"Customer support",12,3.9,1,0.24
"Customer support",92,3.9,1,0.24
"Customer support",5,4,2,0.49
"Customer support",1,4,1,0.24
"Customer support",2,4,1,0.24
"Customer support",3,4,1,0.24
"Customer support",4,4,1,0.24
"Customer support",25,4,1,0.24
"Customer support",6,4.1,1,0.24
"Customer support",7,4.1,1,0.24
"Customer support",5,4.2,2,0.49
"Customer support",3,4.2,1,0.24
"Customer support",74,4.2,1,0.24
"Customer support",3,4.3,1,0.24
"Customer support",6,4.3,1,0.24
"Customer support",7,4.3,1,0.24
"Customer support",9,4.3,1,0.24
"Customer support",11,4.3,1,0.24
"Customer support",29,4.3,1,0.24
"Customer support",62,4.3,1,0.24
"Customer support",79,4.3,1,0.24
"Customer support",131,4.3,1,0.24
"Customer support",167,4.3,1,0.24
"Customer support",184,4.3,1,0.24
"Customer support",1328,4.3,1,0.24
"Customer support",6,4.4,1,0.24
"Customer support",55,4.4,1,0.24
"Customer support",85,4.4,1,0.24
"Customer support",211,4.4,1,0.24
"Customer support",230,4.4,1,0.24
"Customer support",3510,4.4,1,0.24
"Customer support",4,4.5,1,0.24
"Customer support",14,4.5,1,0.24
"Customer support",16,4.5,1,0.24
"Customer support",24,4.5,1,0.24
"Customer support",30,4.5,1,0.24
"Customer support",32,4.5,1,0.24
"Customer support",43,4.5,1,0.24
"Customer support",90,4.5,1,0.24
"Customer support",157,4.5,1,0.24
"Customer support",202,4.5,1,0.24
"Customer support",300,4.5,1,0.24
"Customer support",7,4.6,2,0.49
"Customer support",5,4.6,1,0.24
"Customer support",8,4.6,1,0.24
"Customer support",13,4.6,1,0.24
"Customer support",15,4.6,1,0.24
"Customer support",16,4.6,1,0.24
"Customer support",22,4.6,1,0.24
"Customer support",57,4.6,1,0.24
"Customer support",58,4.6,1,0.24
"Customer support",80,4.6,1,0.24
"Customer support",105,4.6,1,0.24
"Customer support",128,4.6,1,0.24
"Customer support",162,4.6,1,0.24
"Customer support",178,4.6,1,0.24
"Customer support",456,4.6,1,0.24
"Customer support",842,4.6,1,0.24
"Customer support",1142,4.6,1,0.24
