"reviews_count","number_of_apps","percentage_of_total","avg_rating"
0,"1017","21.41","0"
1,"496","10.44","4.127016129032258"
2,"324","6.82","4.233333333038989"
3,"217","4.57","4.231797234253949"
4,"184","3.87","4.179891307068908"
5,"166","3.49","4.172891563679799"
6,"118","2.48","4.247457628532992"
7,"101","2.13","4.154455443420033"
8,"86","1.81","4.333720947420875"
9,"84","1.77","4.361904781489145"
10,"65","1.37","4.218461553867047"
11,"63","1.33","4.292063503038316"
12,"63","1.33","4.255555574856107"
13,"47","0.99","4.172340408284613"
14,"49","1.03","4.316326525746559"
15,"41","0.86","4.3365853530604666"
16,"34","0.72","4.370588253526127"
17,"38","0.80","4.4894737005233765"
18,"31","0.65","4.374193545310728"
19,"30","0.63","4.463333360354105"
20,"33","0.69","4.287878787878788"
21,"31","0.65","4.216129033796249"
22,"26","0.55","4.434615401121286"
23,"20","0.42","4.479999995231628"
24,"23","0.48","4.465217351913452"
25,"25","0.53","4.444000015258789"
26,"26","0.55","4.473076957922715"
27,"23","0.48","4.686956550764001"
28,"24","0.51","4.679166674613953"
29,"22","0.46","4.527272787961093"
30,"17","0.36","4.4294118039748245"
31,"9","0.19","4.555555555555555"
32,"22","0.46","4.6409090757369995"
33,"18","0.38","4.455555571450128"
34,"17","0.36","4.517647070043227"
35,"13","0.27","4.561538476210374"
36,"6","0.13","3.7666666905085244"
37,"15","0.32","4.48666672706604"
38,"12","0.25","4.566666742165883"
39,"18","0.38","4.549999978807238"
40,"15","0.32","4.806666723887125"
41,"13","0.27","4.753846205197847"
42,"17","0.36","4.417647067238303"
43,"9","0.19","4.599999957614475"
44,"11","0.23","4.59090915593234"
45,"9","0.19","4.511111153496636"
46,"13","0.27","4.530769219765296"
47,"12","0.25","4.575000027815501"
48,"12","0.25","4.708333333333333"
49,"8","0.17","4.512500017881393"
50,"15","0.32","4.326666704813639"
51,"5","0.11","4.8"
52,"7","0.15","4.328571455819266"
53,"9","0.19","4.211111174689399"
54,"14","0.29","4.607142840112958"
55,"8","0.17","4.0875000059604645"
56,"8","0.17","4.825000107288361"
57,"10","0.21","4.5299999713897705"
58,"9","0.19","4.722222275204128"
59,"8","0.17","4.6875"
60,"4","0.08","4.224999964237213"
61,"8","0.17","4.5250000059604645"
62,"6","0.13","4.5000001192092896"
63,"9","0.19","4.444444444444445"
64,"11","0.23","4.2727272727272725"
65,"6","0.13","4.333333293596904"
66,"5","0.11","4.600000095367432"
67,"7","0.15","4.585714340209961"
68,"11","0.23","4.672727238048207"
69,"5","0.11","4.439999961853028"
70,"10","0.21","4.790000009536743"
71,"10","0.21","4.430000042915344"
72,"9","0.19","4.733333428700765"
73,"6","0.13","4.916666666666667"
74,"7","0.15","4.785714285714286"
75,"2","0.04","4.900000095367432"
76,"9","0.19","4.555555555555555"
77,"6","0.13","4.416666746139526"
